order_id,customer_id,customer_name,region,order_date,ship_date,product_id,category,sub_category,product_name,quantity,unit_price,discount,sales,profit,latitude,longitude
O100056,C4011,Marvin Rice,Central,2024-01-29,2024-02-04,P135,Office Supplies,Art,Activity Model A,4,409.85,0.1,1475.46,305.07,41.059727,-108.702684
O100057,C5813,Shelley Boyd,West,2024-07-25,2024-08-04,P627,Furniture,Tables,Personal Model B,6,468.52,0.0,2811.12,437.36,30.599204,-86.785704
O100058,C3045,Linda Smith,South,2024-06-14,2024-06-17,P477,Office Supplies,Binders,Answer Model C,8,422.9,0.0,3383.2,321.85,48.435939,-109.656643
O100059,C2768,Nicole Murphy,South,2023-08-27,2023-08-30,P796,Office Supplies,Binders,Short Model B,8,77.97,0.0,623.76,113.79,35.237261,-91.204936
O100060,C4950,Tanya Howard,East,2023-03-19,2023-03-27,P620,Office Supplies,Binders,Wear Model C,7,113.42,0.0,793.94,205.0,31.254769,-108.34358
O100061,C6114,Casey Howell,South,2024-06-05,2024-06-15,P665,Office Supplies,Art,Position Model A,7,321.26,0.0,2248.82,486.23,33.659797,-90.776401
O100062,C5829,Sherry Rodriguez,East,2024-04-16,2024-04-20,P770,Office Supplies,Binders,Interesting Model C,8,230.06,0.0,1840.48,190.29,47.551757,-89.656784
O100063,C7250,Vincent Snyder,Central,2023-01-04,2023-01-12,P576,Furniture,Tables,Kitchen Model B,6,352.53,0.0,2115.18,413.04,40.827286,-94.247853
O100064,C1976,Andrew Wilcox,Central,2024-08-21,2024-08-28,P500,Furniture,Tables,Must Model C,1,392.63,0.1,353.37,62.05,32.477136,-113.102894
O100065,C5324,Tammy Williams,South,2023-09-22,2023-09-23,P433,Technology,Machines,Change Model B,3,456.43,0.3,958.5,58.51,26.133248,-81.802074
O100066,C6797,Veronica Mayo,West,2024-10-13,2024-10-16,P920,Office Supplies,Art,Soon Model A,1,362.72,0.1,326.45,55.06,28.326391,-118.323869
O100067,C7043,Melissa Santos,East,2024-12-15,2024-12-17,P204,Technology,Machines,Discuss Model B,9,93.22,0.3,587.29,156.09,29.657937,-69.482354
O100068,C5957,Brandy Ortega,West,2023-05-24,2023-06-03,P540,Office Supplies,Paper,Nothing Model C,3,371.54,0.0,1114.62,210.81,45.623818,-112.983789
O100069,C4987,Kathleen Parrish,East,2023-02-03,2023-02-04,P326,Office Supplies,Paper,Simply Model C,2,273.57,0.0,547.14,50.42,37.047929,-105.488455
O100070,C2436,Marissa Lynch,South,2023-04-24,2023-05-01,P868,Office Supplies,Binders,Heavy Model A,1,181.24,0.0,181.24,31.82,41.599766,-74.20321
O100071,C8962,Barbara White,South,2024-04-17,2024-04-26,P378,Furniture,Chairs,Change Model B,8,181.9,0.0,1455.2,199.0,29.483104,-78.046715
O100072,C3522,Anthony Townsend,Central,2023-08-24,2023-08-31,P459,Office Supplies,Art,Without Model C,1,473.31,0.0,473.31,86.18,32.951187,-108.604832
O100073,C5155,Henry David,East,2024-03-03,2024-03-05,P215,Furniture,Bookcases,Year Model C,2,110.02,0.0,220.04,63.85,25.089934,-87.616703
O100074,C8880,Ernest Harris,South,2024-07-21,2024-07-28,P191,Technology,Accessories,Light Model A,3,80.65,0.1,217.76,48.36,33.537611,-110.739106
O100075,C9184,Krista Smith,West,2023-08-12,2023-08-13,P228,Furniture,Bookcases,Sell Model A,6,279.82,0.0,1678.92,190.66,46.206027,-100.563007
O100076,C1671,Michael Holt,Central,2024-10-16,2024-10-19,P348,Furniture,Chairs,Mean Model A,4,413.28,0.1,1487.81,413.29,30.129495,-84.471094
O100077,C9218,Donald Yoder,West,2023-10-17,2023-10-27,P411,Technology,Accessories,Around Model B,7,286.76,0.1,1806.59,415.42,27.914828,-116.417599
O100078,C4249,Patricia Washington,East,2024-11-16,2024-11-17,P232,Furniture,Chairs,Reach Model A,4,300.56,0.1,1082.02,137.45,26.142659,-67.989584
O100079,C7589,Dale Myers,Central,2023-05-21,2023-05-26,P617,Office Supplies,Art,Bed Model C,3,353.59,0.0,1060.77,155.53,31.751939,-80.380149
O100080,C3614,Jessica Wright,South,2023-11-06,2023-11-13,P206,Furniture,Tables,How Model B,5,392.63,0.2,1570.52,171.05,44.735213,-74.825515
O100081,C2975,Elizabeth Crawford,West,2024-06-13,2024-06-23,P195,Furniture,Tables,Pressure Model B,2,462.01,0.0,924.02,215.79,48.533505,-99.632067
O100082,C8375,Justin Snyder MD,Central,2023-09-06,2023-09-09,P642,Office Supplies,Paper,Hand Model C,3,368.23,0.1,994.22,87.75,37.688888,-83.809235
O100083,C8118,Stephen Hatfield,South,2023-06-11,2023-06-15,P923,Technology,Copiers,Save Model C,3,89.74,0.3,188.45,55.66,28.618662,-98.828223
O100084,C9860,Laura Booker,East,2023-02-12,2023-02-17,P975,Furniture,Chairs,Produce Model B,6,176.48,0.0,1058.88,314.08,28.727257,-91.903768
O100085,C1747,Elizabeth Holmes,Central,2024-05-02,2024-05-11,P921,Furniture,Tables,Daughter Model B,8,492.31,0.1,3544.63,984.53,30.555216,-88.175033
O100086,C3611,Patricia Brown,East,2023-01-15,2023-01-25,P396,Technology,Phones,Add Model C,7,466.2,0.0,3263.4,371.25,28.660925,-97.828878
O100087,C7504,Holly Williams,Central,2023-06-22,2023-06-27,P369,Office Supplies,Art,Benefit Model B,2,149.2,0.2,238.72,19.05,44.184632,-98.169688
O100088,C9956,Bonnie Lawrence,Central,2024-04-16,2024-04-17,P166,Office Supplies,Binders,Opportunity Model C,5,465.23,0.2,1860.92,402.65,26.64306,-91.35727
O100089,C2312,Jared Myers Jr.,West,2024-11-23,2024-11-30,P116,Office Supplies,Paper,Community Model C,6,409.51,0.0,2457.06,481.23,33.150649,-101.419107
O100090,C4774,Matthew Ramirez,East,2024-06-30,2024-07-04,P744,Furniture,Bookcases,Character Model C,1,201.78,0.0,201.78,32.51,41.168215,-110.297431
O100091,C6178,Mike Weber,Central,2024-12-16,2024-12-19,P211,Technology,Machines,Sort Model A,2,374.59,0.0,749.18,86.83,36.492304,-82.500668
O100092,C7127,Gregory Bradshaw,East,2024-11-07,2024-11-13,P635,Furniture,Chairs,Toward Model A,3,28.78,0.0,86.34,22.55,28.001162,-71.514026
O100093,C1073,Michele Rodriguez,West,2024-11-30,2024-12-01,P273,Office Supplies,Paper,Weight Model B,5,135.8,0.1,611.1,68.36,42.022079,-89.585434
O100094,C3748,Andre Wheeler,West,2023-09-03,2023-09-10,P825,Technology,Phones,Yeah Model A,6,167.46,0.1,904.28,229.08,30.251095,-123.623491
O100095,C7335,Denise Lee,West,2023-05-04,2023-05-06,P548,Technology,Phones,Wife Model B,2,362.62,0.0,725.24,215.74,33.043991,-80.07373
O100096,C1827,Andrew Brown,East,2023-03-08,2023-03-11,P398,Technology,Accessories,Should Model B,6,247.65,0.0,1485.9,368.95,44.952078,-85.350446
O100097,C3983,Brandon Anderson,South,2024-11-01,2024-11-06,P182,Furniture,Chairs,Work Model C,3,272.51,0.2,654.02,114.9,41.825276,-119.546403
O100098,C9827,Sean Stone,West,2023-05-16,2023-05-18,P502,Furniture,Tables,Anyone Model A,3,462.05,0.0,1386.15,364.17,37.612367,-86.432087
O100099,C1556,Cameron Jackson,South,2023-02-22,2023-02-28,P856,Furniture,Chairs,Movie Model B,5,418.68,0.0,2093.4,161.8,40.651679,-106.720751
O100100,C9074,Fred Morrison,West,2024-09-26,2024-10-03,P101,Office Supplies,Paper,Community Model B,9,56.35,0.0,507.15,36.87,30.742539,-78.11927
O100101,C1717,Katherine Arnold,East,2024-10-01,2024-10-08,P241,Office Supplies,Binders,Human Model B,9,433.41,0.2,3120.55,520.97,44.974794,-68.17647
O100102,C2606,Daniel Whitehead,West,2024-11-06,2024-11-13,P110,Technology,Phones,Third Model A,3,207.1,0.0,621.3,142.01,48.039113,-119.317955
O100103,C3121,Carmen Cordova,West,2024-02-15,2024-02-21,P769,Technology,Machines,Customer Model A,3,338.75,0.0,1016.25,58.86,41.557527,-102.215837
O100104,C8568,Robert Henson,Central,2024-03-25,2024-03-30,P240,Technology,Copiers,Suddenly Model C,8,366.36,0.0,2930.88,742.04,25.318945,-97.284027
O100105,C3836,Aaron Moran,West,2024-01-29,2024-02-03,P205,Office Supplies,Paper,Because Model A,5,447.83,0.1,2015.24,547.29,42.569341,-75.931211
O100106,C3138,Krista Richardson,Central,2023-04-21,2023-04-29,P549,Furniture,Chairs,Look Model A,1,169.53,0.2,135.62,24.89,26.410035,-96.274525
O100107,C5843,Nathaniel Jackson,Central,2024-10-29,2024-11-04,P427,Furniture,Tables,Wide Model C,6,461.12,0.0,2766.72,229.3,32.414137,-120.044164
O100108,C6293,Nicole Parker,East,2024-10-24,2024-11-03,P338,Technology,Accessories,Mind Model A,9,81.22,0.0,730.98,95.46,28.747045,-114.450897
O100109,C5526,Christina Fleming,West,2024-12-30,2024-12-31,P721,Technology,Machines,Toward Model B,8,313.77,0.0,2510.16,673.41,38.886401,-81.756723
O100110,C9426,Ashley Johns MD,West,2024-06-05,2024-06-10,P127,Technology,Accessories,Find Model C,6,197.06,0.0,1182.36,182.84,37.999552,-120.607909
O100111,C3443,Eugene Wallace,West,2024-05-18,2024-05-26,P577,Office Supplies,Art,While Model A,9,139.39,0.0,1254.51,165.55,27.547927,-76.273972
O100112,C2663,Joe Barrera,Central,2024-10-18,2024-10-20,P260,Technology,Accessories,Pull Model A,9,414.88,0.0,3733.92,822.09,31.440642,-88.293555
O100113,C9588,Heather Parker,Central,2023-11-14,2023-11-23,P544,Office Supplies,Art,Agree Model A,6,21.07,0.0,126.42,29.91,35.405152,-105.240358
O100114,C3776,Ryan Coffey,South,2023-07-25,2023-07-29,P539,Office Supplies,Art,Kid Model C,2,258.86,0.0,517.72,75.2,25.984266,-75.09066
O100115,C9167,Scott Booker,Central,2023-08-15,2023-08-23,P850,Technology,Machines,Watch Model A,4,481.14,0.0,1924.56,553.4,48.638483,-98.147743
O100116,C1915,Susan Booker,Central,2024-01-12,2024-01-20,P720,Technology,Copiers,Attack Model C,7,494.85,0.0,3463.95,378.93,33.519889,-87.531884
O100117,C1448,Bradley Boyd,South,2024-06-24,2024-07-03,P213,Technology,Accessories,Down Model B,2,387.41,0.0,774.82,191.22,26.406235,-110.749062
O100118,C6181,Victoria Webb,East,2024-11-20,2024-11-26,P534,Office Supplies,Paper,Fire Model A,4,352.9,0.0,1411.6,106.44,44.086004,-111.92662
O100119,C7004,Brooke Bray,Central,2024-04-03,2024-04-13,P653,Furniture,Bookcases,Though Model A,4,87.94,0.0,351.76,69.78,48.005457,-88.638167
O100120,C6338,Vicki Brown,South,2024-05-17,2024-05-23,P595,Technology,Copiers,Social Model B,7,265.37,0.0,1857.59,472.07,42.440437,-113.468863
O100121,C4370,Charles Peterson,Central,2024-01-05,2024-01-08,P491,Furniture,Chairs,Newspaper Model C,9,463.19,0.0,4168.71,753.18,26.555639,-108.697763
O100122,C2523,Sarah Chen,West,2023-10-23,2023-10-30,P261,Technology,Copiers,Small Model B,8,184.94,0.0,1479.52,187.58,31.291289,-105.751168
O100123,C5017,Ashley Norton,South,2023-07-28,2023-08-01,P446,Office Supplies,Paper,Head Model B,8,147.41,0.0,1179.28,159.67,45.431638,-76.871591
O100124,C9923,Scott Nichols,South,2023-11-24,2023-12-01,P778,Office Supplies,Art,Growth Model C,5,485.48,0.0,2427.4,651.56,25.997116,-96.147356
O100125,C2102,Christopher Gilbert,West,2024-01-20,2024-01-27,P883,Technology,Accessories,Character Model B,5,186.85,0.0,934.25,217.25,36.213276,-82.307979
O100126,C5033,Gabrielle Terry,South,2023-05-27,2023-06-03,P352,Technology,Phones,Tend Model B,9,378.64,0.0,3407.76,526.4,31.303139,-67.176852
O100127,C5337,Richard Perez,Central,2024-11-10,2024-11-18,P671,Office Supplies,Paper,Away Model A,6,392.53,0.1,2119.66,426.11,48.43825,-114.827372
O100128,C2637,Eric Alexander,South,2023-06-07,2023-06-09,P147,Furniture,Tables,Thus Model A,9,329.74,0.0,2967.66,833.55,38.991215,-103.266337
O100129,C9212,Sarah Holt,East,2024-05-05,2024-05-06,P930,Furniture,Bookcases,Friend Model A,2,355.83,0.0,711.66,83.93,39.523807,-77.018561
O100130,C6073,John Lewis,South,2023-11-24,2023-11-26,P102,Technology,Copiers,Maintain Model C,6,230.75,0.0,1384.5,164.49,47.53856,-107.699539
O100131,C7119,Michael Jackson,West,2023-03-28,2023-04-02,P310,Office Supplies,Art,Bed Model C,9,401.73,0.0,3615.57,486.32,46.995004,-93.901317
O100132,C4550,Justin Matthews,West,2023-09-11,2023-09-14,P295,Office Supplies,Paper,Drive Model B,2,255.21,0.2,408.34,35.09,28.64251,-99.579867
O100133,C9735,Megan Meyer,West,2024-12-15,2024-12-23,P425,Furniture,Tables,Various Model A,4,49.94,0.0,199.76,42.14,25.657269,-67.708507
O100134,C4027,Casey Cunningham,Central,2024-03-06,2024-03-12,P916,Furniture,Chairs,Who Model A,6,307.56,0.0,1845.36,525.8,38.921285,-116.402479
O100135,C9367,Debbie Mendez,South,2023-09-08,2023-09-14,P726,Technology,Copiers,Entire Model A,5,496.29,0.0,2481.45,690.82,28.250828,-71.441782
O100136,C1649,Grace Hoffman,West,2024-11-26,2024-12-01,P364,Furniture,Bookcases,Choice Model C,6,318.95,0.0,1913.7,502.86,38.279145,-100.611624
O100137,C4260,Patricia Clark,South,2024-06-16,2024-06-26,P722,Technology,Copiers,Suddenly Model B,4,77.41,0.0,309.64,25.65,45.272091,-75.662412
O100138,C6737,Christina Johnson,South,2024-02-28,2024-03-02,P583,Furniture,Bookcases,Fear Model A,4,405.75,0.0,1623.0,173.13,30.318164,-112.997609
O100139,C9613,Martha Wright,Central,2024-04-14,2024-04-24,P998,Technology,Accessories,Middle Model B,6,63.03,0.0,378.18,70.44,38.756927,-122.906003
O100140,C4301,Ronald Hatfield,Central,2024-02-18,2024-02-26,P972,Furniture,Tables,East Model B,5,428.5,0.0,2142.5,217.94,30.319965,-72.986504
O100141,C3257,Betty Velasquez,East,2023-01-27,2023-02-04,P101,Furniture,Bookcases,Week Model B,3,248.58,0.0,745.74,198.33,38.31256,-78.721866
O100142,C3709,Monique Price,South,2024-01-19,2024-01-21,P305,Office Supplies,Paper,Thousand Model C,3,56.99,0.0,170.97,11.45,26.712393,-108.916004
O100143,C4102,Theresa Long,East,2023-09-03,2023-09-12,P475,Office Supplies,Paper,Experience Model C,8,430.87,0.1,3102.26,561.65,31.247584,-109.116531
O100144,C7956,Amber Zimmerman,East,2024-02-14,2024-02-19,P854,Technology,Phones,Work Model C,9,167.92,0.0,1511.28,318.36,42.081159,-121.227288
O100145,C6438,Jenna Brown,East,2023-05-11,2023-05-21,P255,Technology,Phones,Pay Model A,8,368.01,0.2,2355.26,192.65,36.641896,-117.672154
O100146,C7861,Ruth Wiley,East,2023-03-17,2023-03-23,P970,Furniture,Tables,Yard Model A,5,72.44,0.0,362.2,25.59,25.888332,-117.55295
O100147,C5812,Sharon Moore,South,2024-04-29,2024-04-30,P559,Furniture,Chairs,By Model C,7,187.79,0.0,1314.53,293.77,45.70589,-100.074008
O100148,C9770,Anthony Webb,South,2023-12-06,2023-12-09,P637,Furniture,Chairs,New Model B,4,270.36,0.0,1081.44,91.97,47.060021,-76.625201
O100149,C7390,Regina Murphy,East,2024-07-31,2024-08-09,P164,Furniture,Bookcases,Picture Model C,9,311.67,0.0,2805.03,815.02,46.728948,-119.167565
O100150,C1459,Randy Larson Jr.,South,2023-08-23,2023-08-28,P802,Furniture,Chairs,Mention Model A,5,279.34,0.0,1396.7,239.67,36.108961,-80.134609
O100151,C4140,Tony Norris,East,2023-03-21,2023-03-24,P512,Technology,Machines,Food Model B,8,357.64,0.1,2575.01,418.33,33.071175,-100.101683
O100152,C6884,Jeffrey Cruz,East,2024-11-26,2024-12-04,P190,Office Supplies,Art,Large Model C,3,488.46,0.0,1465.38,365.95,38.076063,-107.27437
O100153,C5755,Gary Adams,East,2023-08-19,2023-08-25,P228,Technology,Accessories,Of Model C,3,410.55,0.1,1108.49,110.21,29.250266,-87.721835
O100154,C3785,Michaela Robinson,East,2023-08-16,2023-08-19,P328,Office Supplies,Art,Along Model A,2,141.9,0.0,283.8,82.45,27.069032,-119.858492
O100155,C5866,Stephanie Reynolds,East,2023-08-10,2023-08-13,P267,Technology,Machines,Decide Model C,9,296.49,0.0,2668.41,543.73,45.121936,-69.464986
O100156,C7216,Christine Horton,South,2023-09-25,2023-10-05,P976,Office Supplies,Binders,Common Model A,8,141.5,0.2,905.6,223.22,27.410099,-80.327185
O100157,C2111,John Roberts,Central,2024-03-28,2024-04-03,P184,Furniture,Tables,Another Model C,5,372.59,0.0,1862.95,280.73,34.480165,-72.330723
O100158,C2133,Lawrence Willis,East,2024-03-28,2024-04-05,P880,Furniture,Tables,Event Model A,1,286.08,0.3,200.26,33.76,41.216959,-109.922628
O100159,C5071,Melissa Brennan,South,2024-01-16,2024-01-22,P676,Furniture,Tables,Start Model C,7,40.68,0.0,284.76,32.83,41.641179,-122.997963
O100160,C3376,Bailey Campbell,Central,2024-02-18,2024-02-24,P573,Office Supplies,Binders,Oil Model A,2,223.06,0.1,401.51,89.26,39.101076,-119.641973
O100161,C4287,Samantha Henderson,South,2023-08-13,2023-08-20,P355,Technology,Accessories,Hundred Model B,9,464.63,0.0,4181.67,990.12,33.470941,-115.243737
O100162,C3178,William Martin,South,2023-07-26,2023-07-30,P162,Furniture,Chairs,Pressure Model A,6,340.8,0.0,2044.8,406.95,45.237427,-80.110276
O100163,C8583,Brittney Castillo,West,2024-08-27,2024-09-02,P245,Furniture,Bookcases,Skill Model A,7,338.68,0.0,2370.76,323.69,31.135357,-122.819831
O100164,C5810,Ashley Castillo,South,2024-04-11,2024-04-13,P563,Office Supplies,Paper,Position Model A,9,449.54,0.0,4045.86,327.51,31.420789,-104.979903
O100165,C1250,Sharon Brown,South,2023-12-05,2023-12-13,P981,Furniture,Bookcases,None Model C,5,292.76,0.0,1463.8,182.28,46.482875,-104.648785
O100166,C7109,Thomas Greer,Central,2024-05-26,2024-05-28,P541,Furniture,Chairs,Base Model B,3,492.53,0.1,1329.83,205.07,41.066169,-89.997435
O100167,C4229,Robin Mitchell,Central,2024-05-05,2024-05-11,P927,Office Supplies,Binders,Blood Model B,1,487.26,0.0,487.26,102.74,48.681124,-69.678207
O100168,C7992,Brenda Wheeler,West,2023-06-07,2023-06-14,P430,Furniture,Tables,Process Model B,5,93.42,0.1,420.39,118.53,35.116197,-118.694841
